dataset,max_prompt_tokens,prompt_tokens,reason,sample_id,sample_idx
musique,4096,6420,prompt exceeds max_prompt_tokens,1,1
musique,4096,6210,prompt exceeds max_prompt_tokens,2,2
musique,4096,6259,prompt exceeds max_prompt_tokens,3,3
musique,4096,6202,prompt exceeds max_prompt_tokens,4,4
musique,4096,6373,prompt exceeds max_prompt_tokens,5,5
musique,4096,6254,prompt exceeds max_prompt_tokens,6,6
musique,4096,6115,prompt exceeds max_prompt_tokens,7,7
musique,4096,6301,prompt exceeds max_prompt_tokens,8,8
musique,4096,6390,prompt exceeds max_prompt_tokens,9,9
musique,4096,6199,prompt exceeds max_prompt_tokens,10,10
musique,4096,6239,prompt exceeds max_prompt_tokens,11,11
musique,4096,6303,prompt exceeds max_prompt_tokens,12,12
musique,4096,6463,prompt exceeds max_prompt_tokens,13,13
musique,4096,5877,prompt exceeds max_prompt_tokens,14,14
musique,4096,6164,prompt exceeds max_prompt_tokens,15,15
musique,4096,6408,prompt exceeds max_prompt_tokens,16,16
musique,4096,6366,prompt exceeds max_prompt_tokens,17,17
musique,4096,6335,prompt exceeds max_prompt_tokens,18,18
musique,4096,6364,prompt exceeds max_prompt_tokens,19,19
musique,4096,6457,prompt exceeds max_prompt_tokens,20,20
musique,4096,6209,prompt exceeds max_prompt_tokens,21,21
musique,4096,6475,prompt exceeds max_prompt_tokens,22,22
musique,4096,6678,prompt exceeds max_prompt_tokens,23,23
musique,4096,6144,prompt exceeds max_prompt_tokens,24,24
musique,4096,6175,prompt exceeds max_prompt_tokens,25,25
musique,4096,6711,prompt exceeds max_prompt_tokens,26,26
musique,4096,6110,prompt exceeds max_prompt_tokens,27,27
musique,4096,6555,prompt exceeds max_prompt_tokens,28,28
musique,4096,6138,prompt exceeds max_prompt_tokens,29,29
musique,4096,6344,prompt exceeds max_prompt_tokens,30,30
musique,4096,6202,prompt exceeds max_prompt_tokens,31,31
musique,4096,6251,prompt exceeds max_prompt_tokens,32,32
musique,4096,6180,prompt exceeds max_prompt_tokens,33,33
musique,4096,5809,prompt exceeds max_prompt_tokens,34,34
musique,4096,6310,prompt exceeds max_prompt_tokens,35,35
musique,4096,6263,prompt exceeds max_prompt_tokens,36,36
musique,4096,6405,prompt exceeds max_prompt_tokens,37,37
musique,4096,6517,prompt exceeds max_prompt_tokens,38,38
musique,4096,6325,prompt exceeds max_prompt_tokens,39,39
musique,4096,6266,prompt exceeds max_prompt_tokens,40,40
musique,4096,6326,prompt exceeds max_prompt_tokens,41,41
musique,4096,7033,prompt exceeds max_prompt_tokens,42,42
musique,4096,6103,prompt exceeds max_prompt_tokens,43,43
musique,4096,6090,prompt exceeds max_prompt_tokens,44,44
musique,4096,6052,prompt exceeds max_prompt_tokens,45,45
musique,4096,6232,prompt exceeds max_prompt_tokens,46,46
musique,4096,6304,prompt exceeds max_prompt_tokens,47,47
musique,4096,6247,prompt exceeds max_prompt_tokens,48,48
musique,4096,6153,prompt exceeds max_prompt_tokens,49,49
musique,4096,6464,prompt exceeds max_prompt_tokens,50,50
musique,4096,6099,prompt exceeds max_prompt_tokens,51,51
musique,4096,6490,prompt exceeds max_prompt_tokens,52,52
musique,4096,6387,prompt exceeds max_prompt_tokens,53,53
musique,4096,5789,prompt exceeds max_prompt_tokens,54,54
musique,4096,6152,prompt exceeds max_prompt_tokens,55,55
musique,4096,6377,prompt exceeds max_prompt_tokens,56,56
musique,4096,6202,prompt exceeds max_prompt_tokens,57,57
musique,4096,6314,prompt exceeds max_prompt_tokens,58,58
musique,4096,6241,prompt exceeds max_prompt_tokens,59,59
musique,4096,6532,prompt exceeds max_prompt_tokens,60,60
musique,4096,5903,prompt exceeds max_prompt_tokens,61,61
musique,4096,5880,prompt exceeds max_prompt_tokens,62,62
musique,4096,6389,prompt exceeds max_prompt_tokens,63,63
musique,4096,6447,prompt exceeds max_prompt_tokens,64,64
musique,4096,6176,prompt exceeds max_prompt_tokens,65,65
musique,4096,6509,prompt exceeds max_prompt_tokens,66,66
musique,4096,6037,prompt exceeds max_prompt_tokens,67,67
musique,4096,6762,prompt exceeds max_prompt_tokens,68,68
musique,4096,6257,prompt exceeds max_prompt_tokens,69,69
musique,4096,6299,prompt exceeds max_prompt_tokens,70,70
musique,4096,5738,prompt exceeds max_prompt_tokens,71,71
musique,4096,6286,prompt exceeds max_prompt_tokens,72,72
musique,4096,6281,prompt exceeds max_prompt_tokens,73,73
musique,4096,7578,prompt exceeds max_prompt_tokens,74,74
musique,4096,7441,prompt exceeds max_prompt_tokens,75,75
musique,4096,7777,prompt exceeds max_prompt_tokens,76,76
musique,4096,6217,prompt exceeds max_prompt_tokens,77,77
musique,4096,6549,prompt exceeds max_prompt_tokens,78,78
musique,4096,6111,prompt exceeds max_prompt_tokens,79,79
musique,4096,6430,prompt exceeds max_prompt_tokens,80,80
musique,4096,6173,prompt exceeds max_prompt_tokens,81,81
musique,4096,6905,prompt exceeds max_prompt_tokens,82,82
musique,4096,6500,prompt exceeds max_prompt_tokens,83,83
musique,4096,6511,prompt exceeds max_prompt_tokens,84,84
