"file_name","title","chart_type","data_scope","meaning","paper_use"
"fig01_best_ratio_latency_f1_grid.png","Latency-Quality Comparison at Selected QAW Ratio","2 x 4 scatter grid","Current root outputs/*.output, qaw-ratio 0.70","Compares total generation latency and F1 for the three methods across two models and four datasets.","Main figure candidate for Chapter 4 method comparison."
"fig02_yi6b_ratio_metric_curves.png","Yi-6B QAW Ratio Curves","Faceted line chart","Yi-6B, four datasets, qaw-ratio 0.00 to 1.00","Shows how F1, total latency, and TTFT change with qaw-ratio while full reuse and full prefill stay as references.","Good for explaining the ratio sensitivity of Yi-6B."
"fig03_qwen25_15b_ratio_metric_curves.png","Qwen2.5-1.5B QAW Ratio Curves","Faceted line chart","Qwen2.5-1.5B, four datasets, qaw-ratio 0.00 to 1.00","Shows how F1, total latency, and TTFT change with qaw-ratio while full reuse and full prefill stay as references.","Good for explaining the ratio sensitivity of Qwen2.5-1.5B."
"fig04_yi6b_latency_quality_tradeoff_path.png","Yi-6B Latency-Quality Trade-off Path","Trade-off scatter path","Yi-6B query-aware curve with full reuse/full prefill reference points","Visualizes where each qaw-ratio sits in the latency-quality plane and whether it approaches the full prefill quality region.","Useful for discussing the cost of recovering quality."
"fig05_qwen25_15b_latency_quality_tradeoff_path.png","Qwen2.5-1.5B Latency-Quality Trade-off Path","Trade-off scatter path","Qwen2.5-1.5B query-aware curve with full reuse/full prefill reference points","Visualizes where each qaw-ratio sits in the latency-quality plane and whether it approaches the full prefill quality region.","Useful for discussing the cost of recovering quality."
"fig06_yi6b_ttft_total_quality.png","Yi-6B TTFT-Total Latency Structure","TTFT-total scatter","Yi-6B query-aware curve","Separates first-token delay from total generation latency and marks how quality changes along the curve.","Useful when Chapter 4 discusses TTFT rather than only total latency."
"fig07_qwen25_15b_ttft_total_quality.png","Qwen2.5-1.5B TTFT-Total Latency Structure","TTFT-total scatter","Qwen2.5-1.5B query-aware curve","Separates first-token delay from total generation latency and marks how quality changes along the curve.","Useful when Chapter 4 discusses TTFT rather than only total latency."
"fig08_f1_retention_heatmap.png","F1 Retention vs Full Prefill","Heatmap","Both models, four datasets, all qaw-ratios","Highlights which ratios preserve or exceed full prefill quality.","Useful for selecting qaw-ratio and explaining dataset-specific quality behavior."
"fig09_total_latency_speedup_heatmap.png","Total Latency Speedup vs Full Prefill","Heatmap","Both models, four datasets, all qaw-ratios","Shows where query-aware recomputation saves total latency and where it becomes slower.","Useful for latency analysis and negative-result discussion."
"fig10_balanced_score_heatmap.png","Balanced Quality-Latency Score","Heatmap","Both models, four datasets, all qaw-ratios","Combines quality retention and latency speedup into a compact ratio-selection view.","Useful as supporting material for the selected qaw-ratio."
"fig11_f1_delta_against_baselines.png","Query-Aware F1 Delta against Baselines","Delta line chart","Both models, four datasets, all qaw-ratios","Shows whether query-aware recomputation improves over full reuse and how far it is from full prefill.","Good for explaining quality recovery and degradation cases."
"fig12_latency_overhead_vs_prefill.png","Query-Aware Total Latency Overhead vs Full Prefill","Overhead line chart","Both models, four datasets, all qaw-ratios","Quantifies the latency cost of increasing recomputation ratio relative to full prefill.","Useful for justifying the selected ratio and discussing runtime trade-offs."
"fig13_selected_ratio_normalized_summary.png","Selected Ratio Normalized Summary","Grouped bar chart","Both models at qaw-ratio 0.70","Summarizes quality retention, total latency ratio, and TTFT ratio against full prefill.","Compact figure for reporting the chosen qaw-ratio."
"fig14_available_sample_metric_distributions.png","Available Sample-Level Metric Distributions","Boxplot grid","Fixed-ratio sample_result logs available in current outputs/*.output","Shows sample-level dispersion of F1, total latency, and TTFT for the three methods.","Useful as auxiliary evidence for variance and outlier discussion."
"fig15_sample_delta_vs_full_prefill.png","Sample-Level Query-Aware Delta vs Full Prefill","Sample scatter","Fixed-ratio sample_result logs available in current outputs/*.output","Identifies samples where query-aware recomputation gains or loses quality and latency compared with full prefill.","Useful for case analysis or error analysis subsection."
"fig16_recomputed_tokens_vs_latency.png","Recomputed Tokens vs Query-Aware Latency","Sample scatter","Fixed-ratio query-aware sample_result logs available in current outputs/*.output","Checks whether recomputation workload explains latency variation and whether higher workload aligns with quality changes.","Useful as auxiliary analysis of runtime mechanism."
